SAWYER,30,7,54,4557,0,223671,158,TIMEOUT,3600.3943705558777
SAWYER,30,5,75,6337,0,257740,117,TIMEOUT,3600.3591084480286
GUNTHER,35,9,54,5216,57404,288940,262,Optimal,5.852385759353638
GUNTHER,35,9,61,5967,64917,362402,219,Optimal,1041.61310172081
GUNTHER,35,14,41,4120,43750,248653,342,Optimal,1.5405104160308838
GUNTHER,35,12,44,4326,46854,245277,319,Optimal,2.2873616218566895
GUNTHER,35,11,49,4806,52164,286312,276,Optimal,3.6333060264587402
GUNTHER,35,8,69,6740,0,367555,217,TIMEOUT,3600.881434440613
GUNTHER,35,7,81,7944,0,422398,197,TIMEOUT,3600.703137397766
WARNECKE,58,25,65,10537,0,1513958,746,TIMEOUT,3609.319627046585
WARNECKE,58,31,54,9114,0,1326567,914,TIMEOUT,3610.6577258110046
WARNECKE,58,29,56,9325,0,1410565,888,TIMEOUT,3617.730669736862
WARNECKE,58,29,58,9705,0,1551768,864,TIMEOUT,3605.6030130386353
WARNECKE,58,27,60,9820,0,1412726,816,TIMEOUT,3614.052752494812
WARNECKE,58,27,62,10170,0,1465743,801,TIMEOUT,3606.9286847114563
WARNECKE,58,24,68,10996,0,1645676,750,TIMEOUT,3604.4498138427734
WARNECKE,58,23,71,11406,0,1617009,693,TIMEOUT,3605.8322174549103
WARNECKE,58,22,74,11852,0,1712173,671,TIMEOUT,3604.528190612793
WARNECKE,58,21,78,12441,0,1715370,637,TIMEOUT,3605.3296794891357
WARNECKE,58,20,82,13025,0,1681998,606,TIMEOUT,3603.5499832630157
WARNECKE,58,19,86,13637,0,1758276,588,TIMEOUT,3606.54181599617
WARNECKE,58,17,92,14490,0,1746776,532,TIMEOUT,3693.2644696235657
WARNECKE,58,17,97,15367,0,1877584,524,TIMEOUT,3608.0534760951996
WARNECKE,58,15,104,16383,0,1793764,472,TIMEOUT,3744.276486158371
WARNECKE,58,14,111,17506,0,1833283,443,TIMEOUT,3776.841225862503
LUTZ2,89,49,11,8621,55839,837709,1155,Optimal,10.273319005966187
LUTZ2,89,44,12,8149,59656,805345,1050,Optimal,13.435279369354248
LUTZ2,89,40,13,7774,0,731185,1071,TIMEOUT,3602.255572080612
LUTZ2,89,37,14,7602,0,693019,981,TIMEOUT,3602.138449907303
LUTZ2,89,34,15,7586,0,779771,915,TIMEOUT,3601.8085672855377
LUTZ2,89,31,16,7451,0,783875,838,TIMEOUT,3603.076430082321
LUTZ2,89,29,17,7464,0,807185,772,TIMEOUT,3603.2385170459747
