Name,n,m,c,var,s_cons,h_cons,peak,satus,time,type,preprocess_time,cal UB LB time
JACKSON,11,4,14,2371,8,14550,83,optimal,0.24890708923339844,Binary,0.10459446907043457,2.7179718017578125e-05
MANSOOR,11,4,48,9673,8,96361,111,optimal,0.5390539169311523,Binary,0.0963289737701416,2.6226043701171875e-05
MANSOOR,11,2,94,15934,7,200479,71,optimal,1.4743690490722656,Binary,0.35764527320861816,4.673004150390625e-05
MANSOOR,11,3,62,12462,8,125445,99,optimal,0.6132876873016357,Binary,0.1267838478088379,4.172325134277344e-05
MITCHELL,21,8,14,7824,9,62600,225,optimal,0.5103850364685059,Binary,0.06412744522094727,3.9577484130859375e-05
MITCHELL,21,3,39,19639,8,143513,84,optimal,5.2288148403167725,Binary,0.14672303199768066,3.910064697265625e-05
MITCHELL,21,8,15,8368,9,68783,204,optimal,0.7847650051116943,Binary,0.07465028762817383,3.886222839355469e-05
MITCHELL,21,5,21,10663,8,78365,160,optimal,0.5262558460235596,Binary,0.08274531364440918,4.100799560546875e-05
MITCHELL,21,5,26,13168,8,107150,117,optimal,8.514779567718506,Binary,0.10963964462280273,4.9591064453125e-05
MITCHELL,21,3,35,17635,8,121625,101,optimal,2.09856915473938,Binary,0.12266397476196289,3.886222839355469e-05
ROSZIEG,25,10,14,9160,9,94149,242,optimal,1.6636018753051758,Binary,0.09566235542297363,3.743171691894531e-05
ROSZIEG,25,4,32,18915,8,153998,118,optimal,5.480863094329834,Binary,0.15221166610717773,4.00543212890625e-05
ROSZIEG,25,6,25,16034,9,143829,135,optimal,878.8928513526917,Binary,0.16209769248962402,7.2479248046875e-05
ROSZIEG,25,8,16,10378,9,94575,221,optimal,0.6348221302032471,Binary,0.09907126426696777,9.1552734375e-05
ROSZIEG,25,8,18,11646,9,111318,186,optimal,37.91026854515076,Binary,0.11739230155944824,4.1961669921875e-05
ROSZIEG,25,6,21,13498,9,111759,163,optimal,2.511840343475342,Binary,0.11308407783508301,4.267692565917969e-05
HESKIA,28,8,138,97824,9,3902127,229,optimal,2341.631439447403,Binary,13.532897710800171,5.030632019042969e-05
HESKIA,28,3,342,218995,8,9564134, ,timeout,3623.339725255966,Binary,14.538975715637207,4.696846008300781e-05
HESKIA,28,5,205,131371,8,5457234, ,timeout,3614.2356855869293,Binary,9.22447156906128,0.00010943412780761719
HESKIA,28,5,216,138411,8,6018432, ,timeout,3623.40682387352,Binary,17.639604568481445,0.00012731552124023438
HESKIA,28,4,256,163983,8,6916616, ,timeout,3613.919034719467,Binary,7.372228384017944,0.00013208389282226562
HESKIA,28,4,324,207503,8,10797920, ,timeout,3629.37819480896,Binary,19.079891204833984,7.128715515136719e-05
BUXEY,29,7,47,38117,9,526611,184,optimal,22.017971515655518,Binary,0.4817068576812744,4.410743713378906e-05
BUXEY,29,8,41,33310,9,471115,194,optimal,229.4426760673523,Binary,0.4326741695404053,4.2438507080078125e-05
BUXEY,29,11,33,26949,9,435908, ,timeout,3601.6095912456512,Binary,1.0918269157409668,4.8160552978515625e-05
BUXEY,29,13,27,22171,9,370854,292,optimal,32.88872671127319,Binary,1.0328912734985352,0.000179290771484375
BUXEY,29,12,30,24560,9,405678, ,timeout,3601.571859359741,Binary,1.174516201019287,3.910064697265625e-05
BUXEY,29,7,54,43759,9,658533, ,timeout,3602.7510895729065,Binary,1.8867018222808838,0.00011444091796875
BUXEY,29,10,36,29338,9,460572, ,timeout,3601.7595071792603,Binary,1.1990914344787598,4.839897155761719e-05
SAWYER,30,14,25,23054,9,350766,282,optimal,5.901815891265869,Binary,0.8253836631774902,0.00010466575622558594
SAWYER,30,7,47,38828,8,507821,158,optimal,32.54104685783386,Binary,0.7232167720794678,4.029273986816406e-05
SAWYER,30,8,41,37338,9,462538,168,optimal,846.5658867359161,Binary,31.803084135055542,4.220008850097656e-05
SAWYER,30,12,30,27514,9,400921,229,optimal,2423.7198507785797,Binary,0.4471726417541504,4.4345855712890625e-05
SAWYER,30,13,27,24832,9,367807,268,optimal,5.093286037445068,Binary,0.40728163719177246,7.534027099609375e-05
SAWYER,30,11,33,30196,9,429549, ,timeout,3600.9546871185303,Binary,0.5024442672729492,4.458427429199219e-05
SAWYER,30,10,36,32878,9,452827, ,timeout,3637.8483097553253,Binary,37.24344730377197,8.916854858398438e-05
SAWYER,30,7,54,44575,8,631840, ,timeout,3601.3102078437805,Binary,0.6452772617340088,4.9591064453125e-05
SAWYER,30,5,75,61756,8,835041, ,timeout,3601.787164211273,Binary,0.8601245880126953,0.0002090930938720703
GUNTHER,35,9,54,56282,9,1043862,262,optimal,10.88318133354187,Binary,1.0708179473876953,0.00014162063598632812
GUNTHER,35,9,61,63534,9,1274120,219,optimal,3086.2594299316406,Binary,1.5679380893707275,4.744529724121094e-05
GUNTHER,35,14,41,44796,10,988049,342,optimal,5.8222336769104,Binary,1.0249879360198975,0.0002052783966064453
GUNTHER,35,12,44,47966,10,964979,319,optimal,6.396554231643677,Binary,0.990973949432373,4.410743713378906e-05
GUNTHER,35,11,49,51172,9,1058262,276,optimal,17.897068977355957,Binary,1.09309720993042,5.2928924560546875e-05
GUNTHER,35,8,69,71787,9,1416407, ,timeout,3602.9657657146454,Binary,1.6285033226013184,4.601478576660156e-05
GUNTHER,35,7,81,84184,9,1661610, ,timeout,3603.6433670520782,Binary,1.8088879585266113,0.00014352798461914062
WARNECKE,58,25,65,150660,10,6828416, ,timeout,3619.728478193283,Binary,12.45967435836792,4.220008850097656e-05
WARNECKE,58,31,54,131004,11,6300654, ,timeout,3614.774650812149,Binary,8.46727180480957,6.628036499023438e-05
WARNECKE,58,29,56,135672,11,6250134, ,timeout,3615.614098072052,Binary,8.981514930725098,7.104873657226562e-05
WARNECKE,58,29,58,140456,11,6594382, ,timeout,3615.831516981125,Binary,9.350245237350464,9.751319885253906e-05
WARNECKE,58,27,60,145124,11,6493782, ,timeout,3615.6064047813416,Binary,9.139745235443115,6.246566772460938e-05
WARNECKE,58,27,62,149908,11,6831182, ,timeout,3616.6748282909393,Binary,9.991843223571777,4.887580871582031e-05
WARNECKE,58,24,68,157487,10,7053583, ,timeout,3616.240251302719,Binary,9.417872190475464,8.463859558105469e-05
WARNECKE,58,23,71,164314,10,7256252, ,timeout,3616.315996170044,Binary,9.38447880744934,4.792213439941406e-05
WARNECKE,58,22,74,171141,10,7434533, ,timeout,3618.173624277115,Binary,11.105128288269043,0.00011491775512695312
WARNECKE,58,21,78,180263,10,7744953, ,timeout,3622.736788034439,Binary,13.134319543838501,0.0001614093780517578
WARNECKE,58,20,82,189385,10,8023325, ,timeout,3620.3642642498016,Binary,12.212231874465942,0.0001437664031982422
WARNECKE,58,19,86,198507,10,8266289, ,timeout,3621.4446971416473,Binary,12.276377439498901,8.034706115722656e-05
WARNECKE,58,17,92,212161,10,8333375, ,timeout,3622.9045193195343,Binary,13.7891685962677,0.00011134147644042969
WARNECKE,58,17,97,223636,10,9090680, ,timeout,3624.2800936698914,Binary,14.724402904510498,0.00015497207641601562
WARNECKE,58,15,104,239585,10,9105691, ,timeout,3626.3494441509247,Binary,16.771240949630737,0.00013947486877441406
WARNECKE,58,14,111,255592,10,9538859, ,timeout,3622.160637617111,Binary,12.213678121566772,5.507469177246094e-05
Lutz2,89,49,11,53536,11,2770343,1155,optimal,31.905774116516113,Binary,3.4196228981018066,5.1021575927734375e-05
Lutz2,89,44,12,57558,11,2713984,1050,optimal,60.55658173561096,Binary,3.436393976211548,4.7206878662109375e-05
Lutz2,89,40,13,61669,11,2683536, ,timeout,3605.3414771556854,Binary,2.842947244644165,4.673004150390625e-05
Lutz2,89,37,14,65869,11,2691095, ,timeout,3605.62060379982,Binary,3.411062479019165,5.173683166503906e-05
Lutz2,89,34,15,70069,11,2671918, ,timeout,3605.479650735855,Binary,2.9820563793182373,4.9591064453125e-05
Lutz2,89,31,16,74269,11,2624943, ,timeout,3605.642510652542,Binary,3.405867099761963,5.221366882324219e-05
Lutz2,89,29,17,78558,11,2637524, ,timeout,3605.5801408290863,Binary,3.0987603664398193,5.7220458984375e-05
Lutz2,89,28,18,82936,11,2725123, ,timeout,3605.377484560013,Binary,3.09653902053833,8.869171142578125e-05
Lutz2,89,26,19,87225,11,2704396, ,timeout,3605.782639503479,Binary,3.4669277667999268,5.030632019042969e-05
Lutz2,89,25,20,91603,11,2768966, ,timeout,3605.4172191619873,Binary,3.0938785076141357,5.054473876953125e-05
Lutz2,89,24,21,90917,10,2815714, ,timeout,3606.043547153473,Binary,3.657053232192993,5.5789947509765625e-05
